%time,field.data0.header.seq,field.data0.header.stamp,field.data0.header.frame_id,field.data0.pose.position.x,field.data0.pose.position.y,field.data0.pose.position.z,field.data0.pose.orientation.x,field.data0.pose.orientation.y,field.data0.pose.orientation.z,field.data0.pose.orientation.w
1630047994137602900,1630047994,0,30306,2676.0,4040.0,1515.0,0.0,0.0,0.0,0.0
1630047994226155270,1630047994,0,30306,2678.0,4033.0,1521.0,0.0,0.0,0.0,0.0
1630047994337113076,1630047994,0,30306,2683.0,4028.0,1521.0,0.0,0.0,0.0,0.0
1630047994426398520,1630047994,0,30306,2690.0,4027.0,1534.0,0.0,0.0,0.0,0.0
1630047994536177232,1630047994,0,30306,2701.0,4026.0,1536.0,0.0,0.0,0.0,0.0
1630047994624983248,1630047994,0,30306,2717.0,4019.0,1554.0,0.0,0.0,0.0,0.0
1630047994724963536,1630047994,0,30306,2709.0,4013.0,1551.0,0.0,0.0,0.0,0.0
1630047994835807272,1630047994,0,30306,2706.0,4009.0,1549.0,0.0,0.0,0.0,0.0
1630047994925738605,1630047994,0,30306,2701.0,4005.0,1551.0,0.0,0.0,0.0,0.0
1630047995035583615,1630047995,0,30306,2702.0,4004.0,1548.0,0.0,0.0,0.0,0.0
1630047995124021572,1630047995,0,30306,2699.0,4002.0,1567.0,0.0,0.0,0.0,0.0
1630047995235752752,1630047995,0,30306,2696.0,4002.0,1577.0,0.0,0.0,0.0,0.0
1630047995335623461,1630047995,0,30306,2694.0,4000.0,1586.0,0.0,0.0,0.0,0.0
1630047995435426529,1630047995,0,30306,2692.0,3995.0,1583.0,0.0,0.0,0.0,0.0
1630047995535447812,1630047995,0,30306,2687.0,3989.0,1588.0,0.0,0.0,0.0,0.0
1630047995636674916,1630047995,0,30306,2682.0,3988.0,1584.0,0.0,0.0,0.0,0.0
1630047995733305098,1630047995,0,30306,2674.0,3995.0,1560.0,0.0,0.0,0.0,0.0
1630047995834930039,1630047995,0,30306,2672.0,4002.0,1543.0,0.0,0.0,0.0,0.0
1630047995937151401,1630047995,0,30306,2667.0,4009.0,1514.0,0.0,0.0,0.0,0.0
1630047996025469708,1630047996,0,30306,2671.0,4011.0,1493.0,0.0,0.0,0.0,0.0
1630047996136080171,1630047996,0,30306,2673.0,4018.0,1474.0,0.0,0.0,0.0,0.0
1630047996225734521,1630047996,0,30306,2682.0,4020.0,1452.0,0.0,0.0,0.0,0.0
1630047996334113093,1630047996,0,30306,2688.0,4019.0,1440.0,0.0,0.0,0.0,0.0
1630047996426207416,1630047996,0,30306,2694.0,4019.0,1421.0,0.0,0.0,0.0,0.0
1630047996535247666,1630047996,0,30306,2693.0,4018.0,1403.0,0.0,0.0,0.0,0.0
1630047996628236052,1630047996,0,30306,2699.0,4013.0,1391.0,0.0,0.0,0.0,0.0
1630047996726100159,1630047996,0,30306,2694.0,4005.0,1384.0,0.0,0.0,0.0,0.0
1630047996838046745,1630047996,0,30306,2695.0,4008.0,1384.0,0.0,0.0,0.0,0.0
1630047996927742515,1630047996,0,30306,2697.0,4014.0,1372.0,0.0,0.0,0.0,0.0
1630047997036602704,1630047997,0,30306,2700.0,4019.0,1360.0,0.0,0.0,0.0,0.0
1630047997124324955,1630047997,0,30306,2702.0,4024.0,1359.0,0.0,0.0,0.0,0.0
1630047997239576933,1630047997,0,30306,2706.0,4035.0,1350.0,0.0,0.0,0.0,0.0
1630047997326951419,1630047997,0,30306,2706.0,4043.0,1334.0,0.0,0.0,0.0,0.0
1630047997436469081,1630047997,0,30306,2710.0,4049.0,1321.0,0.0,0.0,0.0,0.0
1630047997527110448,1630047997,0,30306,2707.0,4060.0,1308.0,0.0,0.0,0.0,0.0
1630047997638420571,1630047997,0,30306,2713.0,4070.0,1298.0,0.0,0.0,0.0,0.0
1630047997736354556,1630047997,0,30306,2711.0,4069.0,1331.0,0.0,0.0,0.0,0.0
1630047997825560564,1630047997,0,30306,2711.0,4069.0,1360.0,0.0,0.0,0.0,0.0
1630047997936313834,1630047997,0,30306,2708.0,4074.0,1383.0,0.0,0.0,0.0,0.0
1630047998025613556,1630047998,0,30306,2715.0,4077.0,1405.0,0.0,0.0,0.0,0.0
1630047998136999207,1630047998,0,30306,2718.0,4077.0,1427.0,0.0,0.0,0.0,0.0
1630047998225593230,1630047998,0,30306,2719.0,4077.0,1438.0,0.0,0.0,0.0,0.0
1630047998336842577,1630047998,0,30306,2722.0,4081.0,1444.0,0.0,0.0,0.0,0.0
1630047998426010069,1630047998,0,30306,2724.0,4085.0,1448.0,0.0,0.0,0.0,0.0
1630047998537493954,1630047998,0,30306,2731.0,4085.0,1453.0,0.0,0.0,0.0,0.0
1630047998637378836,1630047998,0,30306,2738.0,4089.0,1451.0,0.0,0.0,0.0,0.0
1630047998726924808,1630047998,0,30306,2734.0,4069.0,1476.0,0.0,0.0,0.0,0.0
1630047998837062392,1630047998,0,30306,2734.0,4057.0,1492.0,0.0,0.0,0.0,0.0
1630047998927386373,1630047998,0,30306,2732.0,4044.0,1503.0,0.0,0.0,0.0,0.0
1630047999036853448,1630047999,0,30306,2728.0,4031.0,1502.0,0.0,0.0,0.0,0.0
1630047999137196290,1630047999,0,30306,2731.0,4026.0,1509.0,0.0,0.0,0.0,0.0
1630047999236546519,1630047999,0,30306,2732.0,4022.0,1511.0,0.0,0.0,0.0,0.0
1630047999337469088,1630047999,0,30306,2737.0,4023.0,1513.0,0.0,0.0,0.0,0.0
1630047999426560682,1630047999,0,30306,2742.0,4024.0,1518.0,0.0,0.0,0.0,0.0
1630047999535910431,1630047999,0,30306,2750.0,4028.0,1517.0,0.0,0.0,0.0,0.0
1630047999626891395,1630047999,0,30306,2755.0,4033.0,1506.0,0.0,0.0,0.0,0.0
1630047999735006948,1630047999,0,30306,2746.0,4026.0,1492.0,0.0,0.0,0.0,0.0
1630047999824864038,1630047999,0,30306,2734.0,4022.0,1487.0,0.0,0.0,0.0,0.0
1630047999935970472,1630047999,0,30306,2726.0,4018.0,1481.0,0.0,0.0,0.0,0.0
1630048000034883498,1630048000,0,30306,2727.0,4017.0,1476.0,0.0,0.0,0.0,0.0
1630048000126413223,1630048000,0,30306,2729.0,4014.0,1469.0,0.0,0.0,0.0,0.0
1630048000236452846,1630048000,0,30306,2729.0,4008.0,1462.0,0.0,0.0,0.0,0.0
1630048000326367662,1630048000,0,30306,2737.0,4008.0,1452.0,0.0,0.0,0.0,0.0
1630048000436091975,1630048000,0,30306,2743.0,4000.0,1448.0,0.0,0.0,0.0,0.0
1630048000536193808,1630048000,0,30306,2747.0,4008.0,1424.0,0.0,0.0,0.0,0.0
1630048000625868994,1630048000,0,30306,2752.0,4014.0,1392.0,0.0,0.0,0.0,0.0
1630048000737324568,1630048000,0,30306,2744.0,4021.0,1382.0,0.0,0.0,0.0,0.0
1630048000826464247,1630048000,0,30306,2733.0,4029.0,1368.0,0.0,0.0,0.0,0.0
1630048000936607244,1630048000,0,30306,2721.0,4037.0,1357.0,0.0,0.0,0.0,0.0
1630048001025016520,1630048001,0,30306,2718.0,4043.0,1331.0,0.0,0.0,0.0,0.0
1630048001136297356,1630048001,0,30306,2710.0,4048.0,1306.0,0.0,0.0,0.0,0.0
1630048001237749211,1630048001,0,30306,2708.0,4053.0,1290.0,0.0,0.0,0.0,0.0
1630048001324590560,1630048001,0,30306,2706.0,4057.0,1273.0,0.0,0.0,0.0,0.0
1630048001437472325,1630048001,0,30306,2709.0,4058.0,1248.0,0.0,0.0,0.0,0.0
1630048001527500955,1630048001,0,30306,2707.0,4060.0,1227.0,0.0,0.0,0.0,0.0
1630048001636107493,1630048001,0,30306,2703.0,4065.0,1196.0,0.0,0.0,0.0,0.0
1630048001735243457,1630048001,0,30306,2687.0,4056.0,1218.0,0.0,0.0,0.0,0.0
1630048001826622585,1630048001,0,30306,2675.0,4046.0,1228.0,0.0,0.0,0.0,0.0
1630048001935728248,1630048001,0,30306,2671.0,4039.0,1235.0,0.0,0.0,0.0,0.0
1630048002025349975,1630048002,0,30306,2674.0,4037.0,1234.0,0.0,0.0,0.0,0.0
1630048002134452874,1630048002,0,30306,2676.0,4039.0,1228.0,0.0,0.0,0.0,0.0
1630048002223616628,1630048002,0,30306,2675.0,4039.0,1212.0,0.0,0.0,0.0,0.0
1630048002335334007,1630048002,0,30306,2680.0,4041.0,1189.0,0.0,0.0,0.0,0.0
1630048002435504881,1630048002,0,30306,2681.0,4043.0,1169.0,0.0,0.0,0.0,0.0
1630048002534742181,1630048002,0,30306,2688.0,4051.0,1134.0,0.0,0.0,0.0,0.0
1630048002634037785,1630048002,0,30306,2694.0,4054.0,1107.0,0.0,0.0,0.0,0.0
1630048002734072749,1630048002,0,30306,2706.0,4045.0,1179.0,0.0,0.0,0.0,0.0
1630048002833826493,1630048002,0,30306,2716.0,4038.0,1240.0,0.0,0.0,0.0,0.0
1630048002944648535,1630048002,0,30306,2733.0,4028.0,1283.0,0.0,0.0,0.0,0.0
1630048003035539323,1630048003,0,30306,2747.0,4016.0,1311.0,0.0,0.0,0.0,0.0
1630048003125132837,1630048003,0,30306,2759.0,4005.0,1331.0,0.0,0.0,0.0,0.0
1630048003235710031,1630048003,0,30306,2769.0,3995.0,1352.0,0.0,0.0,0.0,0.0
1630048003335994114,1630048003,0,30306,2778.0,3986.0,1356.0,0.0,0.0,0.0,0.0
1630048003436272596,1630048003,0,30306,2783.0,3980.0,1349.0,0.0,0.0,0.0,0.0
1630048003536145587,1630048003,0,30306,2788.0,3976.0,1334.0,0.0,0.0,0.0,0.0
1630048003637603675,1630048003,0,30306,2787.0,3973.0,1315.0,0.0,0.0,0.0,0.0
1630048003735606913,1630048003,0,30306,2771.0,3973.0,1329.0,0.0,0.0,0.0,0.0
1630048003826747676,1630048003,0,30306,2761.0,3974.0,1340.0,0.0,0.0,0.0,0.0
1630048003935646356,1630048003,0,30306,2752.0,3974.0,1347.0,0.0,0.0,0.0,0.0
1630048004025141581,1630048004,0,30306,2746.0,3975.0,1354.0,0.0,0.0,0.0,0.0
1630048004136731190,1630048004,0,30306,2748.0,3976.0,1359.0,0.0,0.0,0.0,0.0
1630048004237034250,1630048004,0,30306,2750.0,3971.0,1355.0,0.0,0.0,0.0,0.0
1630048004338169689,1630048004,0,30306,2751.0,3969.0,1363.0,0.0,0.0,0.0,0.0
1630048004436037478,1630048004,0,30306,2757.0,3972.0,1365.0,0.0,0.0,0.0,0.0
